AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO
2011;38;8;ESCUELA ESPAÑA;15;15101;Arica;2;1;110;19;20;14;17;13;16;18;15;132;23;15;17;13;22;15;14;10;129;2;2;0;1;2;2;1;0;10;0;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2011;39;6;ESCUELA PAMPA ALGODONAL;15;15101;Arica;2;1;110;3;0;5;1;2;2;0;0;13;6;3;2;1;3;2;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;3
2011;41;8;ESCUELA VALLE DE CHACA;15;15101;Arica;2;1;110;1;1;0;0;1;0;0;0;3;2;2;0;0;2;1;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2011;42;6;ESCUELA MOLINOS LLUTA;15;15101;Arica;2;1;110;1;1;3;0;0;0;0;0;5;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2011;45;0;COLEGIO ITALIANO SANTA ANA;15;15101;Arica;3;0;110;0;0;0;0;0;0;0;0;0;79;76;72;81;79;82;70;57;596;0;0;0;0;0;0;0;0;0;2;0;5;0;1;0;2;6;16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;3
2011;45;0;COLEGIO ITALIANO SANTA ANA;15;15101;Arica;3;0;310;0;0;0;0;0;0;0;0;0;69;67;55;52;0;0;0;0;243;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2011;50;7;COLEGIO ADVENTISTA DE ARICA;15;15101;Arica;3;0;110;23;28;24;22;31;27;30;28;213;20;38;21;24;15;32;35;34;219;0;1;0;0;0;1;2;0;4;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
2011;50;7;COLEGIO ADVENTISTA DE ARICA;15;15101;Arica;3;0;310;20;17;18;17;0;0;0;0;72;25;22;25;14;0;0;0;0;86;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2011;51;5;ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR;15;15101;Arica;3;1;110;2;2;1;1;1;0;0;0;7;0;2;3;2;0;2;0;0;9;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;52;3;LICEO DOMINGO SANTA MARIA;15;15101;Arica;3;0;110;135;113;104;123;119;131;130;120;975;105;118;100;138;128;124;126;104;943;1;2;4;0;0;2;5;0;14;6;2;5;0;0;1;4;1;19;1;2;1;1;0;1;0;0;6;1;0;0;0;1;2;0;0;4
2011;52;3;LICEO DOMINGO SANTA MARIA;15;15101;Arica;3;0;310;157;120;94;107;0;0;0;0;478;142;150;112;108;0;0;0;0;512;21;20;16;2;0;0;0;0;59;26;15;11;1;0;0;0;0;53;3;7;8;4;0;0;0;0;22;8;7;4;2;0;0;0;0;21
2011;52;3;LICEO DOMINGO SANTA MARIA;15;15101;Arica;3;0;410;81;58;24;30;0;0;0;0;193;68;53;45;36;0;0;0;0;202;11;10;10;2;0;0;0;0;33;12;13;3;1;0;0;0;0;29;2;1;3;0;0;0;0;0;6;4;1;2;0;0;0;0;0;7
2011;52;3;LICEO DOMINGO SANTA MARIA;15;15101;Arica;3;0;810;0;0;24;21;0;0;0;0;45;0;0;14;18;0;0;0;0;32;0;0;1;1;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2011;56;6;COLEGIO SAN MARCOS DE ARICA;15;15101;Arica;3;0;110;34;41;40;36;39;34;41;46;311;35;30;37;24;32;26;31;39;254;0;0;0;0;0;2;1;2;5;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;1;1
2011;56;6;COLEGIO SAN MARCOS DE ARICA;15;15101;Arica;3;0;310;36;48;42;43;0;0;0;0;169;36;50;30;35;0;0;0;0;151;4;7;2;0;0;0;0;0;13;0;2;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2
2011;59;0;COLEGIO SAN JORGE;15;15101;Arica;4;0;110;30;17;22;25;28;30;22;18;192;29;25;19;21;29;21;17;15;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1
2011;59;0;COLEGIO SAN JORGE;15;15101;Arica;4;0;310;33;13;16;19;0;0;0;0;81;22;24;18;22;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
2011;60;4;COLEGIO ALEMAN DE ARICA;15;15101;Arica;3;0;110;34;33;43;25;46;36;36;24;277;33;40;41;33;29;29;32;20;257;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2011;60;4;COLEGIO ALEMAN DE ARICA;15;15101;Arica;3;0;310;34;25;17;21;0;0;0;0;97;36;35;20;14;0;0;0;0;105;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1
2011;67;1;ABRAHAM LINCOLN SCHOOL;15;15101;Arica;3;0;110;30;32;34;38;28;27;19;32;240;33;33;28;23;36;28;14;20;215;1;1;0;1;1;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;67;1;ABRAHAM LINCOLN SCHOOL;15;15101;Arica;3;0;310;17;12;5;16;0;0;0;0;50;8;15;7;9;0;0;0;0;39;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2
2011;69;8;JUNIOR COLLEGE;15;15101;Arica;4;0;110;17;18;26;17;12;15;22;23;150;7;21;21;16;18;19;17;22;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2
2011;69;8;JUNIOR COLLEGE;15;15101;Arica;4;0;310;27;24;24;19;0;0;0;0;94;26;33;20;28;0;0;0;0;107;3;1;2;0;0;0;0;0;6;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2011;70;1;ESCUELA VALLE DE ESQUINA;15;15102;Camarones;2;1;110;0;2;0;0;3;0;0;2;7;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2011;72;8;LICEO  VALLE DE CODPA;15;15102;Camarones;2;1;110;1;0;2;1;0;2;0;4;10;0;0;2;1;1;1;2;3;10;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
2011;72;8;LICEO  VALLE DE CODPA;15;15102;Camarones;2;1;710;3;3;0;3;0;0;0;0;9;3;2;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
2011;73;6;ESCUELA VALLE DE COBIJA;15;15102;Camarones;2;1;110;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;74;4;ESCUELA VALLE DE CAMARONES;15;15102;Camarones;2;1;110;2;0;1;0;1;0;0;0;4;2;1;1;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;75;2;ESCUELA VALLE DE GUANACAGUA;15;15102;Camarones;2;1;110;0;0;0;2;1;1;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
