APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
12;9;0;0;0;0
13;9;0;0;0;0
35;23;0;0;0;0
15;8;0;0;1;0
34;28;1;0;2;0
23;16;3;0;0;0
275;268;10;4;1;1
5;3;0;0;6;2
0;7;0;0;0;0
5;3;0;0;1;0
27;19;0;1;0;0
11;10;0;0;0;0
2;2;0;0;0;0
11;7;0;0;0;0
7;8;0;1;0;0
6;10;0;0;1;0
171;183;18;15;21;11
258;254;19;6;9;4
81;59;1;0;0;0
130;105;1;1;0;0
43;42;3;1;0;0
9;17;0;1;0;0
19;14;0;0;0;0
61;52;2;2;0;0
4;5;1;0;0;0
2;1;0;0;0;0
6;1;1;2;0;0
1;1;0;0;0;0
2;2;0;0;0;0
325;333;6;2;0;2
0;2;0;0;0;0
4;0;0;0;0;0
1;1;0;0;0;0
2;1;0;0;0;0
15;9;0;0;1;0
0;1;0;0;0;0
3;2;0;0;2;0
145;149;0;0;0;0
37;41;0;3;0;0
2;2;0;0;0;0
5;0;0;0;0;0
4;2;0;0;0;0
2;3;0;0;0;0
3;3;1;0;0;0
2;2;0;0;0;0
126;123;3;0;0;0
3;1;0;0;0;0
16;13;0;0;0;0
2;4;0;1;0;0
4;7;0;0;0;0
3;3;0;0;0;0
13;9;0;0;0;0
3;0;0;0;0;0
26;25;0;1;0;0
34;33;1;1;0;0
2;4;0;0;0;0
2;8;0;0;0;0
4;4;0;0;0;0
8;10;1;0;0;0
4;2;0;0;0;0
1;1;0;0;0;0
2;1;0;0;0;0
3;5;0;0;0;0
0;453;0;0;0;0
7;3;4;0;4;0
240;191;39;17;32;17
181;107;4;2;1;0
77;71;3;3;1;1
156;88;0;2;1;0
5;0;0;0;0;0
2;1;0;0;0;0
5;7;1;0;0;0
53;44;1;0;0;0
4;7;0;0;0;0
10;5;0;1;0;0
19;21;0;0;0;0
47;41;0;0;0;0
7;9;0;0;0;0
15;14;1;1;1;0
21;24;0;0;0;0
38;32;0;0;0;0
5;3;1;0;0;0
12;6;0;0;0;1
31;7;1;1;0;0
57;52;6;2;0;0
96;88;0;1;1;0
53;49;3;0;0;0
4;2;0;0;0;0
3;2;0;0;0;0
33;36;1;0;0;0
4;0;0;0;0;0
1;2;0;0;0;0
